Genes P_value key value
OR10A5 0.005128451 Fst_mean_gene 0.2222401
OR10AG1 0.0005219948 Fst_mean_gene 0.3048685
OR10C1 3.213834e-25 Fst_mean_gene 0.1683134
OR10G6 0.002928432 Fst_mean_gene 0.8341656
OR10H1 0.0005885015 Fst_mean_gene 0.1554593
OR10Q1 8.151667e-11 Fst_mean_gene 0.147389
OR10W1 0.04753361 Fst_mean_gene 0.4369882
OR11G2 0.01204481 Fst_mean_gene 0.5259452
OR11H6 0.01168093 Fst_mean_gene 0.7425244
OR12D2 3.429058e-10 Fst_mean_gene 0.1926725
OR14C36 1.733569e-08 Fst_mean_gene 0.4097938
OR14I1 3.753751e-97 Fst_mean_gene 0.08304804
OR14J1 5.360133e-06 Fst_mean_gene 0.05025807
OR1D2 5.302341e-10 Fst_mean_gene 0.0595754
OR1F1 0.01996004 Fst_mean_gene 0.175998
OR1J2 0.01218051 Fst_mean_gene 0.1876864
OR1L6 6.275875e-06 Fst_mean_gene 0.4435294
OR2AE1 1.052365e-05 Fst_mean_gene 0.4368276
OR2AT4 3.856562e-06 Fst_mean_gene 0.3426936
OR2B11 0.0001013133 Fst_mean_gene 0.6802722
OR2L3 8.822512e-07 Fst_mean_gene 0.5364518
OR2M5 0.01101956 Fst_mean_gene 0.3862427
OR2T3 0.04281531 Fst_mean_gene 0.3777257
OR2Z1 0.004744501 Fst_mean_gene 0.2815549
OR4A15 0.03743782 Fst_mean_gene 0.5076113
OR4A8 0.03254529 Fst_mean_gene 0.360068
OR4C3 0.0004159194 Fst_mean_gene 0.5512392
OR4D2 0.000714862 Fst_mean_gene 0.3861482
OR4D5 2.507622e-13 Fst_mean_gene 0.2865894
OR4D9 0.005921834 Fst_mean_gene 0.3968838
OR4F15 0.0007068006 Fst_mean_gene 0.3537146
OR4K3 0.000172606 Fst_mean_gene 0.3629418
OR4P4 7.962972e-30 Fst_mean_gene 0.2298207
OR4Q3 1.633499e-06 Fst_mean_gene 0.2673102
OR51T1 0.03536911 Fst_mean_gene 0.3818312
OR52D1 5.627405e-07 Fst_mean_gene 0.2428242
OR52J3 0.0002593779 Fst_mean_gene 0.2694753
OR52M1 0.0001666939 Fst_mean_gene 0.4816826
OR56A3 0.01103353 Fst_mean_gene 0.6492881
OR56A4 0.02895723 Fst_mean_gene 0.32804
OR5AN1 1.060717e-16 Fst_mean_gene 0.1551092
OR5B12 1.139927e-05 Fst_mean_gene 0.3898859
OR5B3 0.0009605833 Fst_mean_gene 0.3065343
OR5L2 8.060141e-06 Fst_mean_gene 0.2273399
OR5M3 0.0004796329 Fst_mean_gene 0.3874529
OR5V1 9.51492e-07 Fst_mean_gene 0.5305155
OR5W2 0.02270748 Fst_mean_gene 0.3064761
